category,level,question_text,options,correct_answer_index,explanation
Mathematics,Hard,What is the limit of (sin(x) / x) as x approaches 0?,["1", "0", "Infinity", "Undefined"],0,By L'Hopital's Rule or Taylor series expansion lim(x->0) sin(x)/x = 1.
Mathematics,Hard,What is the characteristic equation of the second-order homogeneous ODE: y'' - 5y' + 6y = 0?,["r² - 5r + 6 = 0", "r² + 5r + 6 = 0", "r² - 6r + 5 = 0", "2r - 5 = 0"],0,Substituting y = e^(rx) gives the characteristic quadratic equation r² - 5r + 6 = 0.
Mathematics,Hard,What is the general solution to the ODE y'' + y = 0?,["y = C1*cos(x) + C2*sin(x)", "y = C1*e^x + C2*e^(-x)", "y = C1*cosh(x) + C2*sinh(x)", "y = C1*x + C2"],0,The roots of r² + 1 = 0 are r = +/- i yielding harmonic solutions y = C1*cos(x) + C2*sin(x).
Mathematics,Hard,What is the integrating factor for the first-order linear ODE: dy/dx + P(x)y = Q(x)?,["e^(int P(x) dx)", "int P(x) dx", "e^(-int P(x) dx)", "P(x) * Q(x)"],0,Multiplying by the integrating factor mu(x) = e^(int P(x) dx) transforms the left-hand side into the derivative of a product.
Mathematics,Hard,What integral transform converts a function of time f(t) into a function of complex frequency s via int_0^infinity e^(-st) f(t) dt?,["Laplace Transform", "Fourier Transform", "Z-Transform", "Hilbert Transform"],0,The unilateral Laplace transform is widely used to solve linear differential equations with initial values.
Mathematics,Hard,What is the Laplace transform of the unit step function f(t) = 1 for s > 0?,["1 / s", "1 / s²", "s", "1"],0,L{1} = int_0^infinity e^(-st) dt = [-e^(-st)/s]_0^infinity = 1/s.
Mathematics,Hard,What is the Wronskian of two differentiable functions y1 and y2?,["W = y1 * y2' - y2 * y1'", "W = y1 * y2 + y1' * y2'", "W = y1' / y2'", "W = y1 * y2"],0,The Wronskian determinant is |[y1 y2] [y1' y2']| = y1*y2' - y2*y1' used to test linear independence of ODE solutions.
Mathematics,Hard,What type of ordinary differential equation takes the non-linear form dy/dx + P(x)y = Q(x)y^n for n != 0 1?,["Bernoulli Differential Equation", "Riccati Equation", "Cauchy-Euler Equation", "Clairaut's Equation"],0,A Bernoulli equation can be transformed into a linear ODE via substitution v = y^(1-n).
Mathematics,Hard,What classification applies to a second-order linear PDE if b² - 4ac > 0?,["Hyperbolic (e.g. Wave Equation)", "Parabolic (e.g. Heat Equation)", "Elliptic (e.g. Laplace Equation)", "Degenerate"],0,PDEs with positive discriminant b² - 4ac > 0 are classified as hyperbolic equations.
Mathematics,Hard,What method finds particular solutions to non-homogeneous linear ODEs using arbitrary functions u1(x) and u2(x)?,["Variation of Parameters", "Method of Undetermined Coefficients", "Power Series Method", "Frobenius Method"],0,Variation of parameters replaces constants with variable functions to determine particular integrals for arbitrary forcing terms.
Mathematics,Hard,What are the eigenvalues of the matrix A = [[2, 0], [0, 5]]?,["lambda = 2 and lambda = 5", "lambda = 0 and lambda = 7", "lambda = 10 and lambda = 1", "lambda = 3 and lambda = 7"],0,For any diagonal or triangular matrix the eigenvalues are simply the diagonal entries.
Mathematics,Hard,What theorem states that every square matrix satisfies its own characteristic equation p(A) = 0?,["Cayley-Hamilton Theorem", "Spectral Theorem", "Rank-Nullity Theorem", "Perron-Frobenius Theorem"],0,The Cayley-Hamilton theorem states that substituting matrix A into its characteristic polynomial yields the zero matrix.
Mathematics,Hard,According to the Rank-Nullity Theorem for a linear transformation T: V -> W what is dim(V)?,["rank(T) + nullity(T)", "rank(T) * nullity(T)", "rank(T) - nullity(T)", "dim(W) - rank(T)"],0,The Rank-Nullity theorem states dim(V) = dim(range(T)) + dim(kernel(T)).
Mathematics,Hard,What decomposition factors an m x n real matrix A into U * Sigma * V^T where U and V are orthogonal and Sigma contains singular values?,["Singular Value Decomposition (SVD)", "LU Decomposition", "QR Decomposition", "Cholesky Decomposition"],0,SVD generalizes eigendecomposition to arbitrary rectangular matrices using orthonormal singular vectors.
Mathematics,Hard,What algorithm orthogonalizes a set of linearly independent vectors in an inner product space?,["Gram-Schmidt Process", "Gauss-Jordan Elimination", "Jacobi Method", "Power Iteration"],0,The Gram-Schmidt process generates an orthonormal basis from any linearly independent set of vectors.
Mathematics,Hard,What is the determinant of an orthogonal matrix Q (where Q^T * Q = I)?,["+1 or -1", "0 only", "Any positive real number", "1 only"],0,det(Q^T * Q) = det(Q)² = det(I) = 1 so det(Q) = +/- 1.
Mathematics,Hard,If a square matrix A has an inverse what is the determinant of A^(-1)?,["1 / det(A)", "-det(A)", "det(A)", "0"],0,Since det(A * A^(-1)) = det(I) = 1 det(A^(-1)) = 1 / det(A).
Mathematics,Hard,What factorization decomposes a symmetric positive-definite matrix A into L * L^T where L is a lower triangular matrix?,["Cholesky Decomposition", "LU Decomposition", "Schur Decomposition", "Jordan Canonical Form"],0,Cholesky decomposition computes a unique lower triangular matrix square root for symmetric positive-definite matrices.
Mathematics,Hard,What is the geometric multiplicity of an eigenvalue lambda?,["The dimension of the eigenspace corresponding to lambda", "The multiplicity of lambda as a root of the characteristic polynomial", "The trace of the matrix divided by lambda", "The rank of the matrix"],0,Geometric multiplicity is the number of linearly independent eigenvectors associated with lambda.
Mathematics,Hard,What canonical form represents a matrix as a block diagonal matrix of Jordan blocks when it cannot be fully diagonalized?,["Jordan Canonical Form", "Rational Canonical Form", "Hessenberg Form", "Companion Matrix Form"],0,Jordan canonical form decomposes any linear operator over an algebraically closed field into generalized eigenspaces.
Mathematics,Hard,According to Lagrange's Theorem in finite group theory what does the order of a subgroup H divide?,["The order of the parent group G (|G|)", "The number of conjugacy classes", "The index of the center", "The dimension of the automorphism group"],0,Lagrange's Theorem states that for any finite group G the order of every subgroup H divides |G|.
Mathematics,Hard,What is the order of the symmetric group S_n (the group of all permutations of n elements)?,["n!", "2^n", "n²", "(n - 1)!"],0,The number of permutations of n elements is |S_n| = n!.
Mathematics,Hard,What is a group in which the group operation is commutative called?,["Abelian Group", "Cyclic Group", "Simple Group", "Solvable Group"],0,An abelian group satisfies a * b = b * a for all elements a b in the group.
Mathematics,Hard,What is the smallest non-abelian group?,["S3 (Symmetric group of degree 3 order 6)", "D4 (Dihedral group of order 8)", "Q8 (Quaternion group of order 8)", "A4 (Alternating group of order 12)"],0,S3 is the unique non-abelian group of smallest order.
Mathematics,Hard,What algebraic structure is a set equipped with two binary operations (addition and multiplication) satisfying distributive laws and forming an abelian group under addition?,["Ring", "Monoid", "Semigroup", "Lattice"],0,A ring is an abelian group under addition with an associative multiplication operation that distributes over addition.
Mathematics,Hard,What is a ring where non-zero elements form an abelian group under multiplication called?,["Field", "Integral Domain", "Division Ring", "Vector Space"],0,A field is a commutative division ring where every non-zero element possesses a multiplicative inverse.
Mathematics,Hard,What fundamental theorem states that any finite abelian group is isomorphic to a direct sum of cyclic groups of prime-power order?,["Fundamental Theorem of Finite Abelian Groups", "Sylow's First Theorem", "Jordan-Hölder Theorem", "Cayley's Representation Theorem"],0,This theorem completely classifies all finite abelian groups into direct products of cyclic p-groups.
Mathematics,Hard,What theorem states that every group G is isomorphic to a subgroup of the symmetric group acting on G?,["Cayley's Theorem", "First Isomorphism Theorem", "Burnside's Lemma", "Sylow's Theorem"],0,Cayley's theorem proves every group can be represented as a permutation group acting via left multiplication.
Mathematics,Hard,What is the kernel of a group homomorphism phi: G -> H?,["The set of elements in G that map to the identity element of H", "The image of G in H", "The center of G", "The commutator subgroup of G"],0,ker(phi) = {g in G | phi(g) = e_H} which always forms a normal subgroup of G.
Mathematics,Hard,What type of subgroup N of G satisfies g * N * g^(-1) = N for all g in G allowing the formation of a quotient group G/N?,["Normal Subgroup", "Characteristic Subgroup", "Sylow Subgroup", "Cyclic Subgroup"],0,Normal subgroups are invariant under conjugation permitting well-defined coset multiplication in quotient groups.
Mathematics,Hard,What pair of partial differential equations must a complex function f(z) = u(x y) + i*v(x y) satisfy to be holomorphic (complex differentiable)?,["Cauchy-Riemann Equations (u_x = v_y and u_y = -v_x)", "Laplace Equations (u_xx = v_yy)", "Euler-Lagrange Equations", "Maxwell Equations"],0,The Cauchy-Riemann equations u_x = v_y and u_y = -v_x are necessary and sufficient conditions for complex differentiability.
Mathematics,Hard,What theorem states that the contour integral of a holomorphic function along any simple closed path in a simply connected domain equals zero?,["Cauchy's Integral Theorem", "Residue Theorem", "Liouville's Theorem", "Rouché's Theorem"],0,Cauchy's theorem states oint_C f(z) dz = 0 for any analytic function f on a simply connected domain.
Mathematics,Hard,What formula computes the value of a holomorphic function inside a closed contour from its boundary values: f(z0) = (1 / (2*pi*i)) * oint (f(z)/(z - z0)) dz?,["Cauchy's Integral Formula", "Poisson Integral Formula", "Laurent Series Expansion", "Riemann Mapping Formula"],0,Cauchy's integral formula shows that analytic functions are entirely determined by their values on bounding contours.
Mathematics,Hard,What theorem states that every bounded entire (holomorphic on the entire complex plane) function must be constant?,["Liouville's Theorem", "Morera's Theorem", "Weierstrass Factorization Theorem", "Casorati-Weierstrass Theorem"],0,Liouville's Theorem directly implies the Fundamental Theorem of Algebra.
Mathematics,Hard,What expansion represents a complex function containing negative power terms around an isolated singularity?,["Laurent Series", "Taylor Series", "Fourier Series", "Padé Approximant"],0,The Laurent series extends Taylor series to include terms of negative degree around isolated singularities.
Mathematics,Hard,What is an isolated singularity z0 of f(z) called if the Laurent series has infinitely many negative power terms?,["Essential Singularity", "Removable Singularity", "Simple Pole", "Branch Point"],0,By the Casorati-Weierstrass theorem near an essential singularity f(z) comes arbitrarily close to any complex value.
Mathematics,Hard,What theorem evaluates contour integrals containing isolated singular points using oint_C f(z) dz = 2*pi*i * sum(Residues)?,["Residue Theorem", "Argument Principle", "Maximum Modulus Principle", "Schwarz Lemma"],0,The Cauchy Residue Theorem reduces closed contour integration to computing algebraic residues at enclosed singularities.
Mathematics,Hard,What does the Argument Principle state regarding the contour integral (1 / (2*pi*i)) * oint (f'(z)/f(z)) dz along a closed curve?,["It equals Z - P (number of zeros minus number of poles inside)", "It equals 0", "It equals the total residue sum", "It equals the winding number only"],0,The argument principle counts the difference between the number of zeros and poles enclosed by the contour.
Mathematics,Hard,What geometric property is preserved by a conformal mapping between complex domains?,["Angles (magnitude and orientation) between curves", "Distances between all points", "Total enclosed area", "Curvature radius"],0,A conformal mapping preserves local angles and orientations of intersecting curves at every point where f'(z) != 0.
Mathematics,Hard,What fundamental theorem states that any non-empty simply connected proper open subset of the complex plane can be conformally mapped onto the open unit disk?,["Riemann Mapping Theorem", "Uniformization Theorem", "Open Mapping Theorem", "Inverse Function Theorem"],0,The Riemann Mapping Theorem is a foundational result of geometric function theory.
Mathematics,Hard,What property of a metric space guarantees that every Cauchy sequence converges to a limit within the space?,["Completeness (Complete Metric Space)", "Compactness", "Connectedness", "Separability"],0,A metric space is complete if all Cauchy sequences have limits that belong to the space.
Mathematics,Hard,According to the Heine-Borel Theorem what two topological properties characterize compact subsets in Euclidean space R^n?,["Closed and Bounded", "Open and Connected", "Dense and Countable", "Complete and Separable"],0,Heine-Borel proves that a subset of R^n is compact if and only if it is closed and bounded.
Mathematics,Hard,What theorem states that every bounded infinite sequence of real numbers has a convergent subsequence?,["Bolzano-Weierstrass Theorem", "Intermediate Value Theorem", "Arzelà-Ascoli Theorem", "Monotone Convergence Theorem"],0,The Bolzano-Weierstrass theorem is a fundamental compactness property of Euclidean space.
Mathematics,Hard,What property characterizes a function f: X -> Y between metric spaces such that |f(x) - f(y)| <= k * |x - y| for all x y with 0 <= k < 1?,["Contraction Mapping", "Uniform Continuity", "Lipschitz Continuity with L >= 1", "Isometry"],0,A contraction mapping reduces distances by a factor of at least k < 1 across all points.
Mathematics,Hard,What fixed-point theorem states that any contraction mapping on a non-empty complete metric space admits a unique fixed point?,["Banach Fixed-Point Theorem", "Brouwer Fixed-Point Theorem", "Schauder Fixed-Point Theorem", "Kakutani Fixed-Point Theorem"],0,The Banach Contraction Principle guarantees existence and uniqueness of fixed points and provides an iterative construction algorithm.
Mathematics,Hard,What is the supremum of a set of real numbers S bounded above?,["The least upper bound", "The greatest lower bound", "The maximum element only if it belongs to S", "The arithmetic mean of the bounds"],0,The supremum (sup S) is the smallest real number that is greater than or equal to every element in S.
Mathematics,Hard,What convergence concept requires |f_n(x) - f(x)| < epsilon for all x simultaneously for sufficiently large n?,["Uniform Convergence", "Pointwise Convergence", "L² Mean Convergence", "Convergence in Measure"],0,Uniform convergence preserves continuity of the limit function unlike simple pointwise convergence.
Mathematics,Hard,What theorem states that a sequence of continuous functions converging uniformly on an interval [a b] has a continuous limit function?,["Uniform Convergence Theorem (Continuity Preservation)", "Dominated Convergence Theorem", "Monotone Convergence Theorem", "Weierstrass M-Test"],0,Uniform convergence ensures that the limit operation commutes with the continuity property.
Mathematics,Hard,What major integration theory generalizes the Riemann integral by partitioning the range of the function using measures on sigma-algebras?,["Lebesgue Integration", "Riemann-Stieltjes Integration", "Henstock-Kurzweil Integration", "Darboux Integration"],0,Lebesgue integration integrates measurable functions over measure spaces handling discontinuous limits robustly.
Mathematics,Hard,What fundamental convergence theorem in measure theory allows interchanging limits and Lebesgue integrals under a dominating integrable bound?,["Lebesgue's Dominated Convergence Theorem", "Fatou's Lemma", "Monotone Convergence Theorem", "Fubini's Theorem"],0,The Dominated Convergence Theorem guarantees lim int f_n = int lim f_n if |f_n| <= g for some integrable g.
Mathematics,Hard,What fundamental theorem states that the normalized sum of a large number of independent and identically distributed (i.i.d.) random variables with finite variance approaches a standard normal distribution?,["Central Limit Theorem (CLT)", "Law of Large Numbers (LLN)", "Markov's Inequality", "Chebyshev's Inequality"],0,The Central Limit Theorem explains the universality of the normal distribution across empirical phenomena.
Mathematics,Hard,What probabilistic inequality bounds the probability that a non-negative random variable X exceeds a constant a: P(X >= a) <= E[X] / a?,["Markov's Inequality", "Chebyshev's Inequality", "Jensen's Inequality", "Cauchy-Schwarz Inequality"],0,Markov's inequality provides an upper bound for the tail probability of non-negative random variables using expectation.
Mathematics,Hard,What inequality provides a dispersion bound from the mean: P(|X - mu| >= k*sigma) <= 1 / k²?,["Chebyshev's Inequality", "Markov's Inequality", "Hoeffding's Inequality", "Chernoff Bound"],0,Chebyshev's inequality guarantees that no more than 1/k² of distribution values are more than k standard deviations away from the mean.
Mathematics,Hard,What probability distribution models the number of events occurring in a fixed interval of time with a constant average rate lambda?,["Poisson Distribution", "Binomial Distribution", "Exponential Distribution", "Geometric Distribution"],0,The Poisson distribution has probability mass function P(X = k) = (lambda^k * e^(-lambda)) / k!.
Mathematics,Hard,What continuous probability distribution is characterized by the memoryless property P(X > s + t | X > s) = P(X > t)?,["Exponential Distribution", "Normal Distribution", "Gamma Distribution", "Weibull Distribution"],0,The exponential distribution is the unique continuous memoryless distribution modeling inter-arrival waiting times.
Mathematics,Hard,In statistical inference what theorem states that the Maximum Likelihood Estimator (MLE) asymptotically achieves the Cramér-Rao lower bound?,["Asymptotic Efficiency Theorem", "Gauss-Markov Theorem", "Neyman-Pearson Lemma", "Rao-Blackwell Theorem"],0,Under standard regularity conditions MLEs are asymptotically consistent normally distributed and statistically efficient.
Mathematics,Hard,What lemma provides the optimal statistical test for distinguishing between two simple hypotheses by maximizing power for a given significance level alpha?,["Neyman-Pearson Lemma", "Gauss-Markov Lemma", "Farkas' Lemma", "Johnson-Lindenstrauss Lemma"],0,The Neyman-Pearson lemma proves that the likelihood ratio test is the most powerful test at a chosen significance level.
Mathematics,Hard,In regression analysis what theorem establishes that the Ordinary Least Squares (OLS) estimator is the Best Linear Unbiased Estimator (BLUE)?,["Gauss-Markov Theorem", "Central Limit Theorem", "Cramér-Rao Theorem", "Slutsky's Theorem"],0,The Gauss-Markov theorem proves OLS has minimal sampling variance among all linear unbiased estimators under homoscedasticity.
Mathematics,Hard,What conditional probability formula updates the prior probability of hypothesis H given observed evidence E: P(H|E) = (P(E|H)*P(H)) / P(E)?,["Bayes' Theorem", "Law of Total Probability", "Chain Rule of Probability", "De Morgan's Probability Law"],0,Bayes' theorem is the foundation of Bayesian inference and probabilistic belief revision.
Mathematics,Hard,What is the moment-generating function (MGF) M_X(t) of a random variable X defined as?,["E[e^(tX)]", "E[t^X]", "E[X^t]", "int_0^t f(x) dx"],0,The moment-generating function is M_X(t) = E[e^(tX)] whose derivatives at t=0 evaluate the moments of X.
Mathematics,Hard,What theorem states that for any prime p and integer a not divisible by p a^(p-1) = 1 (mod p)?,["Fermat's Little Theorem", "Euler's Totient Theorem", "Wilson's Theorem", "Chinese Remainder Theorem"],0,Fermat's Little Theorem is a foundational result in elementary number theory and modular arithmetic.
Mathematics,Hard,What theorem generalizes Fermat's Little Theorem to any modulus n: a^phi(n) = 1 (mod n) for gcd(a n) = 1?,["Euler's Totient Theorem", "Wilson's Theorem", "Chinese Remainder Theorem", "Bézout's Identity"],0,Euler's totient theorem uses Euler's totient function phi(n) to compute modular exponentiation for general moduli.
Mathematics,Hard,What theorem states that an integer p > 1 is prime if and only if (p - 1)! = -1 (mod p)?,["Wilson's Theorem", "Fermat's Theorem", "Lucas-Lehmer Theorem", "Goldbach's Conjecture"],0,Wilson's theorem provides a necessary and sufficient criterion for primality using factorials.
Mathematics,Hard,What algorithm finds the greatest common divisor (GCD) of two integers using repeated division with remainder?,["Euclidean Algorithm", "Sieve of Eratosthenes", "Extended Miller-Rabin Algorithm", "Pollard's Rho Algorithm"],0,The Euclidean algorithm computes gcd(a b) by replacing (a b) with (b a mod b) until the remainder is zero.
Mathematics,Hard,What lemma states that if a prime p divides a product ab of two integers then p divides a or p divides b?,["Euclid's Lemma", "Bézout's Lemma", "Gauss's Lemma", "Zorn's Lemma"],0,Euclid's lemma is fundamental for proving the uniqueness of prime factorizations in the Fundamental Theorem of Arithmetic.
Mathematics,Hard,What identity asserts that for integers a and b with gcd(a b) = d there exist integers x and y such that ax + by = d?,["Bézout's Identity", "Fermat's Identity", "Euler's Identity", "Brahmagupta's Identity"],0,Bézout's identity establishes that the GCD of two numbers can always be written as an integer linear combination.
Mathematics,Hard,What theorem guarantees a unique simultaneous solution modulo the product of pairwise coprime moduli: x = a_i (mod m_i)?,["Chinese Remainder Theorem (CRT)", "Fundamental Theorem of Arithmetic", "Quadratic Reciprocity Law", "Dirichlet's Theorem"],0,The Chinese Remainder Theorem constructs a unique solution modulo m1*m2*...*mk for systems of linear congruences.
Mathematics,Hard,What famous number theoretic law discovered by Gauss establishes a relationship between the solvability of x² = p (mod q) and x² = q (mod p)?,["Law of Quadratic Reciprocity", "Prime Number Theorem", "Dirichlet's Unit Theorem", "Hasse-Minkowski Theorem"],0,The Law of Quadratic Reciprocity relates Legendre symbols (p/q) and (q/p) for distinct odd primes.
Mathematics,Hard,What theorem states that any arithmetic progression a a+d a+2d ... where gcd(a d) = 1 contains infinitely many prime numbers?,["Dirichlet's Theorem on Arithmetic Progressions", "Green-Tao Theorem", "Chebyshev's Bias Theorem", "Bertrand's Postulate"],0,Dirichlet proved this using L-functions establishing analytic methods in number theory.
Mathematics,Hard,What asymptotic statement describes the prime-counting function pi(x) as x approaches infinity?,["pi(x) ~ x / ln(x)", "pi(x) ~ sqrt(x)", "pi(x) ~ x * ln(x)", "pi(x) ~ e^x"],0,The Prime Number Theorem proves that the density of primes near x is approximately 1 / ln(x).
Mathematics,Hard,What formula gives the Euler characteristic for any connected planar graph with V vertices E edges and F faces?,["V - E + F = 2", "V + E - F = 2", "V - E - F = 0", "V + E + F = 1"],0,Euler's planar graph formula states V - E + F = 2 for any connected planar embedding.
Mathematics,Hard,What theorem states that every planar map can be colored using at most four colors such that no two adjacent regions share the same color?,["Four Color Theorem", "Five Color Theorem", "Kuratowski's Theorem", "Brooks' Theorem"],0,Proved by Appel and Haken in 1976 using computer assistance the Four Color Theorem verified Guthrie's conjecture.
Mathematics,Hard,What theorem characterizes planar graphs by stating that a graph is planar if and only if it does not contain a subgraph homeomorphic to K5 or K3 3?,["Kuratowski's Theorem (or Wagner's Theorem)", "Tutte's Theorem", "Hall's Marriage Theorem", "Menger's Theorem"],0,Kuratowski's theorem identifies the complete graph K5 and complete bipartite graph K3 3 as forbidden topological minors.
Mathematics,Hard,What necessary and sufficient condition must a connected graph satisfy to contain an Eulerian circuit (a closed trail visiting every edge once)?,["Every vertex must have an even degree", "The graph must be bipartite", "The graph must contain a Hamiltonian cycle", "The chromatic number must be 2"],0,Euler proved that an Eulerian circuit exists if and only if the graph is connected and all vertices have even degree.
Mathematics,Hard,What combinatorial lemma states that for any matching in a bipartite graph a complete matching exists if and only if |N(S)| >= |S| for all subsets S?,["Hall's Marriage Theorem (Hall's Marriage Lemma)", "Birkhoff-von Neumann Theorem", "Dilworth's Theorem", "König's Theorem"],0,Hall's condition requires that every subset of vertices on one side has a collective neighborhood at least as large as the subset itself.
Mathematics,Hard,What theorem equates the maximum flow through a flow network from source to sink with the minimum capacity of an s-t cut?,["Max-Flow Min-Cut Theorem", "Ford-Fulkerson Lemma", "Edmonds-Karp Theorem", "Dijkstra-Bellman Theorem"],0,The Max-Flow Min-Cut theorem is a fundamental duality result in network optimization and linear programming.
Mathematics,Hard,What identity equates the number of edges in a tree with V vertices?,["E = V - 1", "E = V", "E = V + 1", "E = 2V - 2"],0,A tree is an acyclic connected graph which always contains exactly V - 1 edges.
Mathematics,Hard,What theorem in Ramsey theory states that in any group of 6 people there must exist either 3 mutual acquaintances or 3 mutual strangers (R(3 3) = 6)?,["Ramsey's Theorem (for R(3 3))", "Turán's Theorem", "Szemerédi's Theorem", "Pigeonhole Principle Variant"],0,R(3 3) = 6 is the foundational non-trivial case of Ramsey's theorem in structural combinatorics.
Mathematics,Hard,What recurrence relation generates the Catalan numbers C_n (e.g. 1 1 2 5 14 42 ...)?,["C_n = (1 / (n + 1)) * (2n choose n)", "C_n = 2^n - 1", "C_n = n! / 2", "C_n = (n choose 2)"],0,Catalan numbers count valid Dyck paths binary search trees and polygon triangulations.
Mathematics,Hard,What combinatorial principle counts the size of the union of finite sets by alternately adding and subtracting the sizes of their intersections?,["Principle of Inclusion-Exclusion (PIE)", "Pigeonhole Principle", "Double Counting Principle", "Burnside's Lemma"],0,The Principle of Inclusion-Exclusion computes the cardinality of a union of multiple intersecting sets.
Mathematics,Hard,What iterative root-finding algorithm computes successive approximations to a root using x_(n+1) = x_n - f(x_n) / f'(x_n)?,["Newton-Raphson Method", "Bisection Method", "Secant Method", "Fixed-Point Iteration"],0,The Newton-Raphson method uses linear tangent approximations exhibiting quadratic local convergence for simple roots.
Mathematics,Hard,What numerical integration method approximates definite integrals by fitting parabolic arcs over subintervals using weights [1 4 1]?,["Simpson's 1/3 Rule", "Trapezoidal Rule", "Midpoint Rule", "Gaussian Quadrature"],0,Simpson's rule approximates functions via quadratic polynomials achieving an error order of O(h⁴).
Mathematics,Hard,What numerical method solves initial-value ordinary differential equations using weighted averages of four intermediate slope evaluations per step?,["Fourth-Order Runge-Kutta Method (RK4)", "Euler's Forward Method", "Heun's Predictor-Corrector Method", "Adams-Bashforth Method"],0,RK4 is a standard high-accuracy explicit numerical ODE solver with local truncation error of O(h⁵) and global error of O(h⁴).
Mathematics,Hard,What optimization algorithm moves in the direction of the negative gradient with step size alpha to locate a local minimum: x_(k+1) = x_k - alpha * grad f(x_k)?,["Gradient Descent", "Newton's Optimization Method", "Nelder-Mead Simplex Method", "Conjugate Gradient Method"],0,Gradient descent is a first-order optimization method that iteratively steps proportional to the negative gradient.
Mathematics,Hard,What necessary conditions must a solution satisfy in non-linear mathematical optimization with inequality constraints?,["Karush-Kuhn-Tucker (KKT) Conditions", "Lagrange Multiplier Conditions for Equalities Only", "Fermat's Stationary Condition", "Duality Gap Nullity"],0,The KKT conditions generalize Lagrange multipliers to non-linear programming with inequality constraints.
Mathematics,Hard,In numerical linear algebra what iterative method solves strictly diagonally dominant systems of linear equations Ax = b by updating unknowns sequentially using newly computed values immediately?,["Gauss-Seidel Method", "Jacobi Method", "Successive Over-Relaxation (SOR)", "Conjugate Gradient Method"],0,The Gauss-Seidel method immediately uses updated components in the same iteration to accelerate convergence compared to Jacobi.
Mathematics,Hard,What linear programming algorithm traverses the vertices of the feasible polytope along edges of steepest objective increase?,["Simplex Algorithm (George Dantzig)", "Interior Point Method (Karmarkar)", "Ellipsoid Method (Khachiyan)", "Branch and Bound Method"],0,Dantzig's Simplex algorithm solves linear programming problems by moving systematically between adjacent extreme vertices.
Mathematics,Hard,What phenomenon in polynomial interpolation describes severe oscillations at the edges of an interval when using high-degree polynomials with equidistant nodes?,["Runge's Phenomenon", "Gibbs Phenomenon", "Aliasing Effect", "Nyquist Distortion"],0,Runge's phenomenon shows that high-degree polynomial interpolation over equidistant points can diverge.
Mathematics,Hard,What matrix condition number kappa(A) = ||A|| * ||A^(-1)|| measures regarding linear systems Ax = b?,["The sensitivity of the solution x to perturbations in matrix A and vector b (ill-conditioning)", "The determinant of matrix A", "The number of non-zero singular values", "The computational time required for LU decomposition"],0,A large condition number indicates an ill-conditioned system where minor data perturbations cause significant errors in computed solutions.
