category,level,question_text,options,correct_answer_index,explanation
General Knowledge,Medium,Who wrote the epic Russian historical novel 'War and Peace'?,["Leo Tolstoy", "Fyodor Dostoevsky", "Anton Chekhov", "Alexander Pushkin"],0,Leo Tolstoy published 'War and Peace' in 1869 chronicling the French invasion of Russia.
General Knowledge,Medium,Which Spanish surrealist artist painted 'The Persistence of Memory' featuring melting pocket watches draped in a desert landscape?,["Salvador Dalí", "René Magritte", "Max Ernst", "Pablo Picasso"],0,Salvador Dalí completed 'The Persistence of Memory' in 1931 using precise realism to depict dream imagery.
General Knowledge,Medium,What German art and design school founded by Walter Gropius in 1919 emphasized the unity of fine art craft and functionalism?,["The Bauhaus", "De Stijl", "Art Nouveau", "Constructivism"],0,The Bauhaus revolutionized 20th-century modern architecture industrial design and typography.
General Knowledge,Medium,Who designed the iconic organic architecture masterpiece 'Fallingwater' in southwestern Pennsylvania?,["Frank Lloyd Wright", "Le Corbusier", "Mies van der Rohe", "Louis Sullivan"],0,Frank Lloyd Wright built Fallingwater over a natural waterfall for the Kaufmann family in 1935.
General Knowledge,Medium,Which Norwegian expressionist artist painted the iconic figure holding its face in anguish in 'The Scream'?,["Edvard Munch", "Gustav Klimt", "Egon Schiele", "Wassily Kandinsky"],0,Edvard Munch created four versions of 'The Scream' between 1893 and 1910 capturing modern psychological angst.
General Knowledge,Medium,What monumental sculpture carved into the Black Hills of South Dakota depicts four US Presidents: Washington, Jefferson, Roosevelt, and Lincoln?,["Mount Rushmore", "Crazy Horse Memorial", "Stone Mountain", "Lincoln Memorial"],0,Gutzon Borglum sculpted the 60-foot granite heads of the four presidents on Mount Rushmore between 1927 and 1941.
General Knowledge,Medium,Which Polish-French composer was renowned almost exclusively for his virtuosic solo piano compositions including Nocturnes and Mazurkas?,["Frédéric Chopin", "Franz Liszt", "Robert Schumann", "Johannes Brahms"],0,Chopin was a leading Romantic era virtuoso who transformed the expressive range of the piano.
General Knowledge,Medium,Which Italian opera composer created legendary works including 'La traviata', 'Rigoletto', and 'Aida'?,["Giuseppe Verdi", "Giacomo Puccini", "Gioachino Rossini", "Vincenzo Bellini"],0,Giuseppe Verdi was the preeminent figure of 19th-century Italian opera and a symbol of Italian unification.
General Knowledge,Medium,Who directed the groundbreaking 1941 cinematic masterpiece 'Citizen Kane' starring as Charles Foster Kane?,["Orson Welles", "Alfred Hitchcock", "John Ford", "Stanley Kubrick"],0,At age 25 Orson Welles co-wrote directed and starred in 'Citizen Kane' pioneering deep focus and non-linear narrative.
General Knowledge,Medium,Which film director is known for suspense classics such as 'Psycho', 'Rear Window', and 'Vertigo' ('The Master of Suspense')?,["Alfred Hitchcock", "Billy Wilder", "Howard Hawks", "Francis Ford Coppola"],0,Alfred Hitchcock pioneered innovative camera editing techniques and psychological thrillers across a six-decade career.
General Knowledge,Medium,Who composed the iconic four violin concertos collectively known as 'The Four Seasons' (Le quattro stagioni) in the 1720s?,["Antonio Vivaldi", "Arcangelo Corelli", "George Frideric Handel", "Claudio Monteverdi"],0,Vivaldi composed 'The Four Seasons' to provide musical expression to sonnets describing seasonal natural sounds.
General Knowledge,Medium,Which epic 1962 historical drama directed by David Lean starred Peter O'Toole as British officer T.E. Lawrence?,["Lawrence of Arabia", "The Bridge on the River Kwai", "Doctor Zhivago", "Ben-Hur"],0,'Lawrence of Arabia' won seven Academy Awards celebrated for its desert cinematography and dramatic score by Maurice Jarre.
General Knowledge,Medium,What 1972 crime film directed by Francis Ford Coppola tells the multi-generational saga of the Corleone Mafia family?,["The Godfather", "Goodfellas", "Scarface", "Casino"],0,'The Godfather' based on Mario Puzo's novel is widely regarded as one of the greatest and most influential films in cinema history.
General Knowledge,Medium,Which Russian composer wrote the famous ballet scores for 'Swan Lake', 'The Sleeping Beauty', and 'The Nutcracker'?,["Pyotr Ilyich Tchaikovsky", "Sergei Rachmaninoff", "Igor Stravinsky", "Dmitri Shostakovich"],0,Tchaikovsky's melodic orchestral ballets remain the most frequently performed works in classical dance.
General Knowledge,Medium,Which British rock band released the experimental concept albums 'The Dark Side of the Moon' (1973) and 'The Wall' (1979)?,["Pink Floyd", "Led Zeppelin", "The Who", "Queen"],0,Pink Floyd pioneered progressive and psychedelic rock featuring philosophical lyrics and sonic experimentation.
General Knowledge,Medium,Who was the lead singer and flamboyant frontman of the British rock band Queen who wrote 'Bohemian Rhapsody'?,["Freddie Mercury", "David Bowie", "Mick Jagger", "Robert Plant"],0,Freddie Mercury possessed a four-octave vocal range and wrote iconic anthems including 'Bohemian Rhapsody' and 'We Are the Champions'.
General Knowledge,Medium,Who is credited with inventing the modern assembly-line automobile and the Model T transforming mass production?,["Henry Ford", "Karl Benz", "Gottlieb Daimler", "Ransom Olds"],0,Henry Ford pioneered standardized moving assembly line methods in 1913 drastically reducing vehicle production costs.
General Knowledge,Medium,Who built and patented the first practical gasoline-powered internal combustion automobile (the Motorwagen) in Germany in 1886?,["Karl Benz", "Rudolf Diesel", "Gottlieb Daimler", "Wilhelm Maybach"],0,Karl Benz received the patent for his three-wheeled gas-driven Motorwagen regarded as the birth of the modern automobile.
General Knowledge,Medium,What Swedish industrialist and chemist established the Nobel Prizes in his 1895 will after amassing wealth from his dynamite patents?,["Alfred Nobel", "Svante Arrhenius", "Jöns Jacob Berzelius", "Carl Wilhelm Scheele"],0,Alfred Nobel bequeathed the majority of his estate to fund international awards recognizing service to humanity.
General Knowledge,Medium,Who developed the smallpox vaccine in 1796 using cowpox material establishing the foundational principle of vaccination?,["Edward Jenner", "Louis Pasteur", "Robert Koch", "Joseph Lister"],0,Edward Jenner's pioneer inoculation work led to the eventual global eradication of smallpox.
General Knowledge,Medium,Which French chemist developed the process of pasteurization to kill harmful microbes in food and created rabies and anthrax vaccines?,["Louis Pasteur", "Antoine Lavoisier", "Edward Jenner", "Alexander Fleming"],0,Louis Pasteur disproved spontaneous generation and established germ theory as the basis for medical sterilization and vaccines.
General Knowledge,Medium,Who was the British mathematician whose work at Bletchley Park cracking the Enigma machine laid the foundations of theoretical computer science?,["Alan Turing", "Charles Babbage", "John von Neumann", "Ada Lovelace"],0,Alan Turing formulated the Turing Machine concept and broke German military cyphers accelerating the Allied victory in WWII.
General Knowledge,Medium,Who is recognized as the world's first computer programmer for publishing the first algorithm intended for Babbage's Analytical Engine?,["Ada Lovelace", "Grace Hopper", "Katherine Johnson", "Margaret Hamilton"],0,Ada Lovelace recognized that Babbage's mechanical computer could manipulate symbols and composed an algorithm to compute Bernoulli numbers.
General Knowledge,Medium,Who invented the diesel internal combustion engine in the 1890s designed to run on high compression without spark plugs?,["Rudolf Diesel", "Nikolaus Otto", "Karl Benz", "Felix Wankel"],0,Rudolf Diesel engineered a compression-ignition engine that offered significantly higher thermodynamic thermal efficiency than steam or gas engines.
General Knowledge,Medium,Which American inventor and industrialist patented the vulcanization process in 1844 stabilizing natural rubber against temperature extremes?,["Charles Goodyear", "Harvey Firestone", "John Dunlop", "Thomas Hancock"],0,Charles Goodyear heated natural rubber with sulfur to create a durable waterproof elastomer that revolutionized tires and gaskets.
General Knowledge,Medium,What 18th-century Scottish inventor patented the separate condenser for steam engines greatly improving their efficiency and driving the Industrial Revolution?,["James Watt", "Thomas Newcomen", "Richard Trevithick", "George Stephenson"],0,James Watt's separate steam condenser reduced fuel consumption by 75% making steam power commercially viable for factories and locomotives.
General Knowledge,Medium,What economic term describes a market structure where a single seller dominates the supply of an entire good or service?,["Monopoly", "Oligopoly", "Monopsony", "Perfect Competition"],0,A monopoly exists when one enterprise is the sole provider of a commodity lacking direct market competition.
General Knowledge,Medium,What term describes a market condition where a small number of large firms dominate the market (e.g. commercial aviation)?,["Oligopoly", "Monopoly", "Duopoly", "Syndicate"],0,An oligopoly features a small cluster of powerful firms whose competitive pricing decisions directly influence each other.
General Knowledge,Medium,What macroeconomics term describes a period of stagnant economic growth combined with high inflation and high unemployment?,["Stagflation", "Hyperinflation", "Deflationary Spiral", "Recessionary Gap"],0,Stagflation occurred famously in Western economies in the 1970s following oil supply shocks.
General Knowledge,Medium,What fundamental economic metric measures the total monetary value of all final goods and services produced within a country in a year?,["Gross Domestic Product (GDP)", "Gross National Income (GNI)", "Purchasing Power Parity (PPP)", "Trade Balance"],0,GDP is the primary quantitative benchmark used to evaluate the economic output and health of a nation.
General Knowledge,Medium,Which international financial organization based in Washington D.C. provides policy advice and loans to countries facing balance-of-payments crises?,["International Monetary Fund (IMF)", "World Bank", "World Trade Organization (WTO)", "Federal Reserve"],0,The IMF was created at Bretton Woods in 1944 to oversee the international monetary system and stabilize exchange rates.
General Knowledge,Medium,What global trade organization headquartered in Geneva was established in 1995 to replace the GATT and regulate international trade rules?,["World Trade Organization (WTO)", "OECD", "OPEC", "UNCTAD"],0,The WTO negotiates trade agreements and adjudicates commercial trade disputes among 164 member states.
General Knowledge,Medium,What statistical index developed by the UN evaluates countries on life expectancy education and per capita income?,["Human Development Index (HDI)", "Gini Coefficient", "Gross National Happiness", "Consumer Price Index"],0,Created by Mahbub ul Haq and Amartya Sen the HDI measures human well-being beyond GDP alone.
General Knowledge,Medium,What statistical measure ranging from 0 (perfect equality) to 1 (perfect inequality) evaluates income distribution in a nation?,["Gini Coefficient", "Lorenz Index", "Engel's Ratio", "Herfindahl Index"],0,The Gini coefficient quantifies wealth or income inequality based on the deviation from the line of perfect equality.
General Knowledge,Medium,What legal doctrine of Anglo-American common law requires judges to follow the precedents set by previous court rulings in similar cases?,["Stare Decisis", "Habeas Corpus", "Mens Rea", "Actus Reus"],0,Stare decisis ('to stand by things decided') binds courts to adhere to legal principles established in earlier judicial decisions.
General Knowledge,Medium,What ancient Latin legal writ requires a person held in custody to be brought before a court to determine if their detention is lawful?,["Habeas Corpus", "Subpoena", "Mandamus", "Certiorari"],0,Habeas corpus ('you may have the body') serves as a safeguard against arbitrary imprisonment without formal charge.
General Knowledge,Medium,What core spiritual text of Hinduism consists of a 700-verse dialogue between Prince Arjuna and Lord Krishna on the battlefield of Kurukshetra?,["The Bhagavad Gita", "The Upanishads", "The Rigveda", "The Ramayana"],0,The Bhagavad Gita forms part of the Mahabharata and addresses duty (dharma) devotion (bhakti) and righteousness.
General Knowledge,Medium,What four central truths form the foundational doctrine of Buddhist philosophy taught by Siddhartha Gautama?,["The Four Noble Truths", "The Eightfold Path", "The Three Jewels", "The Five Precepts"],0,The Four Noble Truths address the nature of suffering (dukkha) its origin its cessation and the path leading to its end.
General Knowledge,Medium,What holy book of Islam was revealed to the Prophet Muhammad in Arabic over a 23-year period?,["The Quran", "The Hadith", "The Torah", "The Zend Avesta"],0,The Quran is the central religious text of Islam organized into 114 chapters known as Surahs.
General Knowledge,Medium,In Norse mythology what is the prophesied series of apocalyptic events battles and natural disasters that results in the rebirth of the world?,["Ragnarök", "Valhalla", "Fimbulwinter", "Yggdrasil Collapse"],0,Ragnarök culminates in the deaths of major gods like Odin Thor and Loki and the submergence of the world in water.
General Knowledge,Medium,What ancient Persian dualistic religion was founded by the prophet Zoroaster and centered on the supreme god Ahura Mazda?,["Zoroastrianism (Mazdaism)", "Manichaeism", "Mithraism", "Gnosticism"],0,Zoroastrianism posited a cosmic struggle between truth/light (Ahura Mazda) and deceit/darkness (Angra Mainyu).
General Knowledge,Medium,In Greek mythology which hero was required to perform Twelve Labors as penance for slaying his family under Hera's madness?,["Heracles (Hercules)", "Perseus", "Theseus", "Jason"],0,Heracles performed the Twelve Labors under King Eurystheus including slaying the Nemean Lion and Hydra.
General Knowledge,Medium,What ancient Mesopotamian hero king embarks on a quest for immortality following the death of his companion Enkidu?,["Gilgamesh", "Hammurabi", "Sargon", "Ashurbanipal"],0,The Epic of Gilgamesh is one of the earliest surviving works of literature inscribed on clay cuneiform tablets.
General Knowledge,Medium,What Hebrew religious text comprises the first five books of the Hebrew Bible (Genesis, Exodus, Leviticus, Numbers, Deuteronomy)?,["The Torah (Pentateuch)", "The Talmud", "The Nevi'im", "The Ketuvim"],0,The Torah contains the foundational laws narratives and covenants of Judaism traditionally attributed to Moses.
General Knowledge,Medium,In Egyptian mythology who was the god of the afterlife resurrection and agriculture husband to Isis?,["Osiris", "Anubis", "Horus", "Ra"],0,Osiris was murdered by his brother Set and resurrected by his wife Isis to rule the underworld (Duat).
General Knowledge,Medium,In Roman mythology who was the goddess of love beauty and fertility corresponding to the Greek goddess Aphrodite?,["Venus", "Minerva", "Juno", "Diana"],0,Venus was the Roman goddess of love and ancestor of the Roman people through her son Aeneas.
General Knowledge,Medium,What culinary term describes cooking raw food sealed in an airtight plastic bag submerged in a precisely temperature-controlled water bath?,["Sous-vide", "Confit", "Braising", "Poaching"],0,Sous-vide ('under vacuum') ensures uniform cooking without scorching by maintaining exact low water bath temperatures.
General Knowledge,Medium,What fungal delicacy found underground primarily in oak and hazel forests of France and Italy is harvested using trained pigs or dogs?,["Truffles (White and Black Truffles)", "Morels", "Chanterelles", "Shiitake"],0,Truffles are subterranean ascomycete fungi prized in haute cuisine for their aroma and culinary value.
General Knowledge,Medium,Which region of France is legally recognized as the exclusive producer of authentic sparkling wine labeled as 'Champagne'?,["Champagne Region", "Bordeaux", "Burgundy", "Loire Valley"],0,Under Appellation d'Origine Contrôlée (AOC) laws only sparkling wine produced in the Champagne region can carry the name.
General Knowledge,Medium,What hot green paste served with sushi is traditionally made by grating the rhizome of Wasabia japonica?,["Wasabi", "Horseradish", "Matcha", "Gari"],0,Real wasabi is derived from the fresh rhizome of Wasabia japonica possessing volatile compounds that stimulate the nasal passages.
General Knowledge,Medium,What precious spice the most expensive in the world by weight consists of the dried red stigmas of the Crocus sativus flower?,["Saffron", "Cardamom", "Vanilla", "Cinnamon"],0,Harvesting saffron requires hand-picking over 75 000 Crocus sativus flowers to yield a single pound of dried spice.
General Knowledge,Medium,What is the national distilled alcoholic beverage of Mexico made specifically from the fermented sugars of the Blue Agave plant?,["Tequila", "Mezcal", "Pisco", "Rum"],0,Tequila is produced around the city of Tequila in Jalisco state using only Agave tequilana Weber blue variety.
General Knowledge,Medium,What Italian hard granular cheese made from cow's milk in the provinces of Parma and Reggio Emilia is aged for up to 36 months?,["Parmigiano-Reggiano (Parmesan)", "Pecorino Romano", "Gorgonzola", "Grana Padano"],0,Parmigiano-Reggiano is a strictly protected DOP cheese crafted according to traditional centuries-old dairy standards.
General Knowledge,Medium,What Japanese cooking philosophy emphasizes five distinct colors five primary tastes and five cooking techniques to achieve aesthetic balance?,["Goshiki (Five Colors / Principles of Washoku)", "Kaiseki Zen", "Umami Rule", "Bento Composition"],0,Traditional Washoku cuisine integrates red yellow green black and white hues across diverse cooking methods.
General Knowledge,Medium,What fermented Korean side dish made of seasoned napa cabbage and radishes with chili and garlic is a national staple?,["Kimchi", "Sauerkraut", "Bibimbap", "Bulgogi"],0,Kimchi is an ancient lactic-fermented vegetable dish preserved with gochugaru chili peppers and salted seafood.
General Knowledge,Medium,What French mother sauce is made by whisking egg yolks and warm clarified butter emulsified with lemon juice or vinegar?,["Hollandaise Sauce", "Béchamel Sauce", "Velouté Sauce", "Espagnole Sauce"],0,Hollandaise is one of Auguste Escoffier's five classic French mother sauces serving as the base for Béarnaise sauce.
General Knowledge,Medium,Where is the permanent headquarters of the United Nations (UN) located?,["New York City, USA", "Geneva, Switzerland", "Vienna, Austria", "The Hague, Netherlands"],0,The UN Secretariat Building and General Assembly have sat on international territory in Manhattan New York City since 1952.
General Knowledge,Medium,Where is the primary headquarters of the European Union (EU) and NATO located?,["Brussels, Belgium", "Strasbourg, France", "Luxembourg City", "Frankfurt, Germany"],0,Brussels serves as the de facto administrative capital of the EU housing the European Commission and Council.
General Knowledge,Medium,Where is the International Court of Justice (ICJ) and the International Criminal Court (ICC) headquartered?,["The Hague, Netherlands", "Geneva, Switzerland", "Brussels, Belgium", "London, UK"],0,The Peace Palace in The Hague is the seat of the ICJ the principal judicial organ of the United Nations.
General Knowledge,Medium,What international petroleum cartel founded in Baghdad in 1960 coordinates oil production policies among member nations?,["OPEC (Organization of the Petroleum Exporting Countries)", "IEA", "OECD", "OAPEC"],0,OPEC coordinates petroleum export volumes and pricing policies headquartered in Vienna Austria.
General Knowledge,Medium,What international military alliance founded in 1949 commits members to mutual collective defense under its famous Article 5?,["NATO (North Atlantic Treaty Organization)", "Warsaw Pact", "SEATO", "ANZUS"],0,Article 5 states that an armed attack against one NATO member in Europe or North America is considered an attack against all.
General Knowledge,Medium,What is the official currency of Switzerland?,["Swiss Franc (CHF)", "Euro", "Krona", "Mark"],0,Switzerland uses the Swiss Franc (CHF) maintained independently by the Swiss National Bank outside the Eurozone.
General Knowledge,Medium,What is the official currency of the People's Republic of China?,["Renminbi (Yuan)", "Yen", "Won", "Hong Kong Dollar"],0,The Renminbi (RMB) with basic unit the Yuan is the official currency issued by the People's Bank of China.
General Knowledge,Medium,What is the official currency of India symbolized by the sign ₹?,["Indian Rupee (INR)", "Rupiah", "Taka", "Kyat"],0,The Indian Rupee is managed by the Reserve Bank of India adopting the modern ₹ symbol designed by D. Udaya Kumar in 2010.
General Knowledge,Medium,What flag features the design of a red field with five golden stars in the canton (one large star flanked by four smaller stars)?,["Flag of China", "Flag of Vietnam", "Flag of Turkey", "Flag of Singapore"],0,The national flag of the People's Republic of China symbolizes the Chinese people united under the leadership of the Communist Party.
General Knowledge,Medium,What is the only sovereign national flag in the world that is not rectangular or square in shape?,["Flag of Nepal", "Flag of Switzerland", "Flag of Vatican City", "Flag of Monaco"],0,The national flag of Nepal is double-pennant shaped representing the Himalayan mountains and the sun and moon.
General Knowledge,Medium,Who invented the World Wide Web (WWW) while working at the CERN physics laboratory in 1989?,["Tim Berners-Lee", "Vint Cerf", "Bob Kahn", "Marc Andreessen"],0,Tim Berners-Lee developed HTTP HTML URLs and the first web browser to allow researchers to share information.
General Knowledge,Medium,What optical storage medium developed by Philips and Sony in 1982 replaced vinyl records and cassette tapes for audio distribution?,["Compact Disc (CD)", "Digital Versatile Disc (DVD)", "Floppy Disk", "Minidisc"],0,The Compact Disc used optical laser diodes to read digitized binary audio pits pressed onto polycarbonate discs.
General Knowledge,Medium,What search engine founded by Larry Page and Sergey Brin in 1998 originated as a Stanford research project named 'BackRub'?,["Google", "Yahoo!", "AltaVista", "Ask Jeeves"],0,Larry Page and Sergey Brin developed the PageRank algorithm to rank web page authority based on backlink structures.
General Knowledge,Medium,What social networking website founded by Mark Zuckerberg and college roommates launched from Harvard University in February 2004?,["Facebook", "MySpace", "Friendster", "Twitter"],0,Facebook expanded from Harvard dormitories across universities worldwide evolving into the social media platform Meta.
General Knowledge,Medium,Who is recognized as the inventor of the first practical mechanical telephone exchange and the rotary dial system in 1891?,["Almon Brown Strowger", "Alexander Graham Bell", "Thomas Watson", "Elisha Gray"],0,Strowger patented the automatic electromechanical telephone switch eliminating the need for manual switchboard operators.
General Knowledge,Medium,What 18th-century device invented by Eli Whitney in 1793 dramatically accelerated the separation of cotton fibers from their seeds?,["The Cotton Gin", "The Spinning Jenny", "The Flying Shuttle", "The Power Loom"],0,The cotton gin automated seed removal increasing raw cotton output and inadvertently entrenching plantation slavery in the American South.
General Knowledge,Medium,Who invented the modern alternating current (AC) electrical induction motor and polyphase power transmission system?,["Nikola Tesla", "Thomas Edison", "George Westinghouse", "Michael Faraday"],0,Nikola Tesla developed polyphase AC distribution and induction motors which triumphed over Edison's direct current in the 'War of the Currents'.
General Knowledge,Medium,What communication system developed by Samuel Morse in the 1830s transmits text as sequences of dots and dashes?,["Morse Code", "Baudot Code", "ASCII", "Semaphore"],0,Morse code standardized electromagnetic telegraph messaging using standardized pulse lengths across single-wire telegraph lines.
General Knowledge,Medium,What portable listening device launched by Sony in 1979 revolutionized personalized music listening on the go?,["The Walkman (TPS-L2)", "The Discman", "The iPod", "The Transistor Radio"],0,The Sony Walkman allowed users to listen to cassette tapes through lightweight headphones while moving.
General Knowledge,Medium,What video-sharing website founded by Steve Chen Chad Hurley and Jawed Karim in 2005 had its first video titled 'Me at the zoo'?,["YouTube", "Vimeo", "Dailymotion", "Twitch"],0,Co-founder Jawed Karim uploaded the first-ever 18-second video clip to YouTube from the San Diego Zoo on April 23 2005.
General Knowledge,Medium,What is the rarest naturally occurring gemstone in the world found only near Mount Kilimanjaro in northern Tanzania?,["Tanzanite", "Painite", "Red Beryl", "Alexandrite"],0,Tanzanite is a blue-violet zoisite gemstone found exclusively in a small 4-kilometer mining strip in the Mirerani Hills.
General Knowledge,Medium,What gemstone changes color from emerald green in daylight to ruby red under incandescent light?,["Alexandrite", "Tanzanite", "Emerald", "Padparadscha Sapphire"],0,Alexandrite is a chromium-bearing chrysoberyl variety famous for its optical color-change phenomenon.
General Knowledge,Medium,What is the official state animal of Scotland featured in Celtic mythology and the Royal Coat of Arms of the United Kingdom?,["The Unicorn", "The Red Deer", "The Golden Eagle", "The Lion"],0,Scotland adopted the mythical unicorn as its national heraldic symbol representing purity and untamable strength.
General Knowledge,Medium,What is the only letter in the English alphabet that does not appear in the names of any of the 50 US states?,["The letter Q", "The letter X", "The letter Z", "The letter J"],0,The letter Q is the only letter of the English alphabet entirely absent from all 50 official US state names.
General Knowledge,Medium,What mathematical shape is the cross-section of a honeybee honeycomb cell maximizing volume while minimizing wax perimeter?,["Hexagon", "Pentagon", "Octagon", "Square"],0,The hexagonal tiling conjecture proves that regular hexagons provide the most perimeter-efficient way to divide a surface into equal areas.
General Knowledge,Medium,What is the term for a word phrase or sequence that reads the exact same backwards as forwards (e.g. 'madam' or 'racecar')?,["Palindrome", "Anagram", "Oxymoron", "Portmanteau"],0,A palindrome is a symmetric sequence of characters that reads identically in both directions.
General Knowledge,Medium,What is the term for a new word formed by blending the sounds and meanings of two distinct words (e.g. 'smog' from smoke and fog)?,["Portmanteau", "Acronym", "Eponym", "Neologism"],0,Coined by Lewis Carroll a portmanteau merges multiple words into a single linguistic unit (e.g. brunch from breakfast and lunch).
General Knowledge,Medium,What natural glass mineral is formed when lightning strikes sandy soil or quartz rock fusing silica into hollow tubes?,["Fulgurite", "Obsidian", "Tektite", "Pumice"],0,Fulgurites ('petrified lightning') are glassy mineraloid tubes created by the intense thermal energy of cloud-to-ground lightning discharges.
General Knowledge,Medium,What dark volcanic glass forms when high-silica felsic lava cools rapidly without sufficient time for mineral crystal growth?,["Obsidian", "Basalt", "Rhyolite", "Granite"],0,Obsidian is an extrusive igneous glass with smooth conchoidal fractures historically used to fashion razor-sharp cutting blades.
General Knowledge,Medium,What biological term describes the protective camouflage adaptation where an animal physically mimics another dangerous or toxic species?,["Mimicry (Batesian / Müllerian Mimicry)", "Crypsis", "Aposematism", "Countershading"],0,Batesian mimicry occurs when a harmless organism evolves to resemble a venomous or unpalatable model to deter predators.
